,FIP,Year,population
288,8075,2010,22033
289,8077,2010,146361
290,8079,2010,704
291,8081,2010,13794
292,8083,2010,25577
293,8085,2010,41186
294,8087,2010,28243
295,8089,2010,18888
296,8091,2010,4456
297,8093,2010,16280
298,8095,2010,4470
299,8097,2010,17160
300,8099,2010,12575
301,8101,2010,159466
302,8103,2010,6675
303,8105,2010,12023
304,8107,2010,23448
305,8109,2010,6136
306,8111,2010,708
307,8113,2010,7357
308,8115,2010,2371
309,8117,2010,28077
310,8119,2010,23469
311,8121,2010,4821
312,8123,2010,254198
313,8125,2010,10049
314,9000,2010,3579125
315,9001,2010,919330
316,9003,2010,895226
317,9005,2010,189806
318,9007,2010,165602
319,9009,2010,863382
320,9011,2010,273998
321,9013,2010,153236
322,9015,2010,118545
323,10000,2010,899595
324,10001,2010,162955
325,10003,2010,538750
326,10005,2010,197890
327,11000,2010,605085
328,11001,2010,605085
329,12000,2010,18845785
330,12001,2010,247613
331,12003,2010,27062
332,12005,2010,169205
333,12007,2010,28536
334,12009,2010,543972
335,12011,2010,1752834
336,12013,2010,14646
337,12015,2010,159867
338,12017,2010,141171
339,12019,2010,191434
340,12021,2010,322595
341,12023,2010,67553
342,12027,2010,34933
343,12029,2010,16401
344,12031,2010,865637
345,12033,2010,298039
346,12035,2010,96077
347,12037,2010,11522
348,12039,2010,47793
349,12041,2010,16999
350,12043,2010,12870
351,12045,2010,15823
352,12047,2010,14683
353,12049,2010,27724
354,12051,2010,39013
355,12053,2010,172966
356,12055,2010,98634
357,12057,2010,1233491
358,12059,2010,19845
359,12061,2010,138272
360,12063,2010,49646
361,12065,2010,14754
362,12067,2010,8810
363,12069,2010,297708
364,12071,2010,620454
365,12073,2010,275969
366,12075,2010,40723
367,12077,2010,8348
368,12079,2010,19252
369,12081,2010,323427
370,12083,2010,331340
371,12085,2010,146916
372,12086,2010,2507065
373,12087,2010,73220
374,12089,2010,73513
375,12091,2010,180715
376,12093,2010,40028
377,12095,2010,1148593
378,12097,2010,269841
379,12099,2010,1323648
380,12101,2010,465486
381,12103,2010,916424
382,12105,2010,603128
383,12107,2010,74207
384,12109,2010,191243
385,12111,2010,278270
386,12113,2010,152908
387,12115,2010,379937
388,12117,2010,423057
389,12119,2010,94278
390,12121,2010,42330
391,12123,2010,22590
392,12125,2010,15544
393,12127,2010,494445
394,12129,2010,30825
395,12131,2010,55211
396,12133,2010,24722
397,13000,2010,9711810
398,13001,2010,18333
399,13003,2010,8366
400,13005,2010,11055
401,13007,2010,3435
402,13009,2010,45701
403,13011,2010,18406
404,13013,2010,69677
405,13015,2010,100087
406,13017,2010,17623
407,13019,2010,19361
408,13021,2010,155810
409,13023,2010,13033
410,13025,2010,18465
411,13027,2010,16247
412,13029,2010,30378
413,13031,2010,70562
414,13033,2010,23321
415,13035,2010,23758
416,13037,2010,6697
417,13039,2010,50660
418,13043,2010,11020
419,13045,2010,110667
420,13047,2010,64081
421,13049,2010,12852
422,13051,2010,265792
423,13053,2010,11189
424,13055,2010,25952
425,13057,2010,215191
426,13059,2010,117410
427,13061,2010,3176
428,13063,2010,259831
429,13065,2010,6770
430,13067,2010,689528
431,13069,2010,42735
432,13071,2010,45638
433,13073,2010,124977
434,13075,2010,17187
435,13077,2010,127919
436,13079,2010,12616
437,13081,2010,23429
438,13083,2010,16622
439,13085,2010,22288
440,13087,2010,27814
441,13089,2010,692471
442,13091,2010,21760
443,13093,2010,14851
444,13095,2010,94513
445,13097,2010,132595
446,13099,2010,10984
447,13101,2010,4019
448,13103,2010,52465
449,13105,2010,20105
450,13107,2010,22609
451,13109,2010,11021
452,13111,2010,23676
453,13113,2010,106938
454,13115,2010,96423
455,13117,2010,176750
456,13119,2010,22072
457,13121,2010,925651
458,13123,2010,28321
459,13125,2010,3075
460,13127,2010,79739
461,13129,2010,55222
462,13131,2010,25020
463,13133,2010,15979
464,13135,2010,808049
465,13137,2010,43064
466,13139,2010,180040
467,13141,2010,9434
468,13143,2010,28761
469,13145,2010,32153
470,13147,2010,25244
471,13149,2010,11837
472,13151,2010,205091
473,13153,2010,140745
474,13155,2010,9594
475,13157,2010,60695
476,13159,2010,13893
477,13161,2010,15117
478,13163,2010,16884
479,13165,2010,8323
480,13167,2010,9984
481,13169,2010,28646
482,13171,2010,18264
483,13173,2010,10097
484,13175,2010,48399
485,13177,2010,28416
486,13179,2010,62765
487,13181,2010,7970
488,13183,2010,14559
489,13185,2010,109692
490,13187,2010,30309
491,13189,2010,21803
492,13191,2010,14312
493,13193,2010,14645
494,13195,2010,28205
495,13197,2010,8741
496,13199,2010,21822
497,13201,2010,6131
498,13205,2010,23498
499,13207,2010,26186
500,13209,2010,9146
501,13211,2010,17894
502,13213,2010,39534
503,13215,2010,191105
504,13217,2010,100154
505,13219,2010,32927
506,13221,2010,14893
507,13223,2010,142817
508,13225,2010,27738
509,13227,2010,29457
510,13229,2010,18814
511,13231,2010,17923
512,13233,2010,41530
513,13235,2010,11970
514,13237,2010,21191
515,13239,2010,2513
516,13241,2010,16279
517,13243,2010,7666
518,13245,2010,200917
519,13247,2010,85363
520,13249,2010,5017
521,13251,2010,14499
522,13253,2010,8727
523,13255,2010,64087
524,13257,2010,26135
525,13259,2010,6098
526,13261,2010,32683
527,13263,2010,6864
528,13265,2010,1703
529,13267,2010,25484
530,13269,2010,8779
531,13271,2010,16518
532,13273,2010,9525
533,13275,2010,44750
534,13277,2010,40247
535,13279,2010,27249
536,13281,2010,10537
537,13283,2010,6891
538,13285,2010,67052
539,13287,2010,8907
540,13289,2010,8969
541,13291,2010,21368
542,13293,2010,27056
543,13295,2010,68883
544,13297,2010,83940
545,13299,2010,36317
546,13301,2010,5782
547,13303,2010,21095
548,13305,2010,30075
549,13307,2010,2782
550,13309,2010,7759
551,13311,2010,27199
552,13313,2010,102740
553,13315,2010,9241
554,13317,2010,10508
555,13319,2010,9527
556,13321,2010,21700
557,15000,2010,1363963
558,15001,2010,185358
559,15003,2010,956296
560,15005,2010,90
561,15007,2010,67213
562,15009,2010,155006
563,16000,2010,1570773
564,16001,2010,393350
565,16003,2010,3962
566,16005,2010,83019
567,16007,2010,5969
568,16009,2010,9290
569,16011,2010,45767
570,16013,2010,21296
571,16015,2010,7006
572,16017,2010,40908
573,16019,2010,104672
574,16021,2010,10999
575,16023,2010,2915
576,16025,2010,1116
577,16027,2010,189353
578,16029,2010,6974
579,16031,2010,23079
580,16033,2010,980
581,16035,2010,8727
582,16037,2010,4357
583,16039,2010,27120
584,16041,2010,12781
585,16043,2010,13223
586,16045,2010,16687
587,16047,2010,15471
588,16049,2010,16309
589,16051,2010,26221
590,16053,2010,22454
591,16055,2010,138852
592,16057,2010,37254
593,16059,2010,7952
594,16061,2010,3820
595,16063,2010,5206
596,16065,2010,37595
597,16067,2010,20083
598,16069,2010,39315
599,16071,2010,4288
600,16073,2010,11473
601,16075,2010,22637
602,16077,2010,7872
603,16079,2010,12770
604,16081,2010,10151
605,16083,2010,77535
606,16085,2010,9788
607,16087,2010,10177
608,17000,2010,12840762
609,17001,2010,67160
610,17003,2010,8206
611,17005,2010,17787
612,17007,2010,54103
613,17009,2010,6919
614,17011,2010,34959
615,17013,2010,5096
616,17015,2010,15392
617,17017,2010,13638
618,17019,2010,201541
619,17021,2010,34764
620,17023,2010,16291
621,17025,2010,13827
622,17027,2010,37840
623,17029,2010,53868
624,17031,2010,5199166
625,17033,2010,19802
626,17035,2010,11053
627,17037,2010,105147
628,17039,2010,16590
629,17041,2010,19982
630,17043,2010,918029
631,17045,2010,18507
632,17047,2010,6734
633,17049,2010,34223
634,17051,2010,22130
635,17053,2010,14081
636,17055,2010,40035
637,17057,2010,37074
638,17059,2010,5574
639,17061,2010,13890
640,17063,2010,50152
641,17065,2010,8446
642,17067,2010,19091
643,17069,2010,4318
644,17071,2010,7343
645,17073,2010,50453
646,17075,2010,29701
647,17077,2010,60376
648,17079,2010,9725
649,17081,2010,38759
650,17083,2010,22970
651,17085,2010,22648
652,17087,2010,12608
653,17089,2010,516144
654,17091,2010,113419
655,17093,2010,115377
656,17095,2010,52913
657,17097,2010,704192
658,17099,2010,113816
659,17101,2010,16940
660,17103,2010,35976
661,17105,2010,38856
662,17107,2010,30284
663,17109,2010,32628
664,17111,2010,309061
665,17113,2010,169810
666,17115,2010,110784
667,17117,2010,47799
668,17119,2010,269346
669,17121,2010,39419
670,17123,2010,12629
671,17125,2010,14651
672,17127,2010,15380
673,17129,2010,12696
674,17131,2010,16410
675,17133,2010,32997
676,17135,2010,30095
677,17137,2010,35505
678,17139,2010,14860
679,17141,2010,53423
680,17143,2010,186221
681,17145,2010,22315
682,17147,2010,16709
683,17149,2010,16394
684,17151,2010,4470
685,17153,2010,6122
686,17155,2010,6012
687,17157,2010,33463
688,17159,2010,16194
689,17161,2010,147616
690,17163,2010,270342
691,17165,2010,24901
692,17167,2010,197767
693,17169,2010,7535
694,17171,2010,5327
695,17173,2010,22358
696,17175,2010,5970
697,17177,2010,47607
698,17179,2010,135486
699,17181,2010,17735
700,17183,2010,81639
701,17185,2010,11916
702,17187,2010,17719
703,17189,2010,14712
704,17191,2010,16738
705,17193,2010,14600
706,17195,2010,58478
707,17197,2010,678818
708,17199,2010,66432
709,17201,2010,295088
710,17203,2010,38670
711,18000,2010,6490436
712,18001,2010,34451
713,18003,2010,355939
714,18005,2010,76820
715,18007,2010,8863
716,18009,2010,12771
717,18011,2010,56914
718,18013,2010,15207
719,18015,2010,20194
720,18017,2010,38980
721,18019,2010,110572
722,18021,2010,26851
723,18023,2010,33221
724,18025,2010,10710
725,18027,2010,31720
726,18029,2010,50089
727,18031,2010,25798
728,18033,2010,42309
729,18035,2010,117652
